RECORD_ID,VIOLATION_CATEGORY,VIOLATION,REPORTED_DATE,RECORD_STATUS,STATUS_DATE,PARCEL_NBR,STREET_NBR,STREET_DIR,STREET_NAME,STREET_TYPE,ZIP,FID
ENV-16-05575,Environmental,Litter,2016-06-02T04:00:00.000Z,Billed,2016-06-15T04:00:00.000Z,71-08-14-311-012.000-026,1701,,SWYGART,AVE,46613,17082
ENV-16-05526,Environmental,Litter,2016-06-02T04:00:00.000Z,Billed,2016-06-15T04:00:00.000Z,71-08-02-155-004.000-026,1038,,DIAMOND,AVE,46628,17083
ENV-16-05889,Environmental,Litter,2016-06-08T04:00:00.000Z,Closed,2016-06-21T04:00:00.000Z,71-08-24-178-017.000-026,119,E,WOODSIDE,ST,46614,17084
ENV-16-05833,Environmental,Grass and Weeds,2016-06-07T04:00:00.000Z,Closed,2016-06-20T04:00:00.000Z,71-08-13-326-003.000-026,1606,S,MICHIGAN,ST,46613,17085
ENV-16-05628,Environmental,Grass and Weeds,2016-06-03T04:00:00.000Z,Closed,2016-06-24T04:00:00.000Z,71-08-10-211-001.00-026,138,,HUEY,St,46628,17086
ENV-16-05680,Environmental,Litter,2016-06-04T04:00:00.000Z,Billed,2016-06-20T04:00:00.000Z,71-08-02-376-007.00-026,1220,,LINCOLN,Way,46628,17087
ENV-16-05778,Environmental,Litter,2016-06-06T04:00:00.000Z,Closed,2016-06-20T04:00:00.000Z,71-08-15-433-007.000-026,1614,,PULASKI,St,46613,17088
ENV-16-05725,Environmental,Litter,2016-06-06T04:00:00.000Z,Closed,2016-06-20T04:00:00.000Z,71-08-02-356-021.000-026,521,,STUDEBAKER,St,46628,17089
ENV-16-05576,Environmental,Grass and Weeds,2016-06-02T04:00:00.000Z,Billed,2016-06-29T04:00:00.000Z,71-08-09-129-019.000-026,4007,,GARDEN,Pl,46619,17090
ENV-16-05834,Environmental,Litter,2016-06-07T04:00:00.000Z,Closed,2016-06-21T04:00:00.000Z,71-08-01-304-015.000-026,305,W,NAVARRE,ST,46601,17091
ENV-16-05527,Environmental,Litter,2016-06-02T04:00:00.000Z,Closed,2016-06-14T04:00:00.000Z,71-08-02-151-020.000-026,1125,,CLEVELAND,AVE,46628,17092
ENV-16-05890,Environmental,Grass and Weeds,2016-06-08T04:00:00.000Z,Closed,2016-06-21T04:00:00.000Z,71-08-24-178-016.000-026,115,E,WOODSIDE,ST,46614,17093
ENV-16-05726,Environmental,Litter,2016-06-06T04:00:00.000Z,Billed,2016-06-20T04:00:00.000Z,71-08-02-352-025.000-026,607,,STUDEBAKER,ST,46628,17094
ENV-16-05779,Environmental,Litter,2016-06-06T04:00:00.000Z,Closed,2016-06-16T04:00:00.000Z,71-08-14-305-009.000-026,1629,,MAGNOLIA,ST,46613,17095
ENV-16-05681,Environmental,Grass and Weeds,2016-06-04T04:00:00.000Z,Closed,2016-06-24T04:00:00.000Z,71-08-11-178-011.00-026,1102,,THOMAS,St,46601,17096
ENV-16-05629,Environmental,Grass and Weeds,2016-06-03T04:00:00.000Z,Billed,2016-06-30T04:00:00.000Z,71-08-02-129-002.000-026,1308,,WOODWARD,AVE,46616,17097
ENV-16-05577,Environmental,Litter,2016-06-02T04:00:00.000Z,Billed,2016-06-28T04:00:00.000Z,71-08-09-129-019.000-026,4007,,GARDEN,Pl,46619,17098
ENV-16-05682,Environmental,Grass and Weeds,2016-06-04T04:00:00.000Z,Closed,2016-06-17T04:00:00.000Z,71-08-11-177-041.00-026,1119,,THOMAS,St,46615,17099
ENV-16-05780,Environmental,Litter,2016-06-06T04:00:00.000Z,Closed,2016-06-16T04:00:00.000Z,71-08-14-309-004.000-026,1715,,MAGNOLIA,ST,46613,17100
ENV-16-05891,Environmental,Grass and Weeds,2016-06-08T04:00:00.000Z,Closed,2016-06-21T04:00:00.000Z,71-08-24-178-009.000-026,116,E,OAKSIDE,ST,46614,17101
ENV-16-05835,Environmental,Litter,2016-06-07T04:00:00.000Z,Notice Sent to Owner,2016-06-07T04:00:00.000Z,71-08-12-428-025.000-026,501,,PARRY,ST,46617,17102
ENV-16-05528,Environmental,Litter,2016-06-02T04:00:00.000Z,Closed,2016-06-14T04:00:00.000Z,71-08-02-151-021.000-026,1121,,CLEVELAND,AVE,46628,17103
ENV-16-05630,Environmental,Grass and Weeds,2016-06-03T04:00:00.000Z,Billed,2016-06-30T04:00:00.000Z,71-08-02-129-001.000-026,1312,,WOODWARD,AVE,46616,17104
ENV-16-05727,Environmental,Litter,2016-06-06T04:00:00.000Z,Billed,2016-06-21T04:00:00.000Z,71-08-03-483-018.00-026,1631,,SIBLEY,Ave,46628,17105
ENV-16-05578,Environmental,Grass and Weeds,2016-06-02T04:00:00.000Z,Billed,2016-06-22T04:00:00.000Z,71-08-10-205-001.00-026,2028,,LINDEN,Ave,46628,17106
ENV-16-05683,Environmental,Grass and Weeds,2016-06-04T04:00:00.000Z,Billed,2016-06-23T04:00:00.000Z,71-08-11-178-005.00-026,1134,,THOMAS,St,46625,17107
ENV-16-05781,Environmental,Grass and Weeds,2016-06-06T04:00:00.000Z,Closed,2016-06-06T04:00:00.000Z,71-08-10-485-007.000-026,824,,KOSCIUSZKO,St,46619,17108
ENV-16-05892,Environmental,Vegetation,2016-06-08T04:00:00.000Z,Closed,2016-06-21T04:00:00.000Z,71-08-24-178-010.000-026,118,E,OAKSIDE,ST,46614,17109
ENV-16-05529,Environmental,Grass and Weeds,2016-06-02T04:00:00.000Z,Billed,2016-06-27T04:00:00.000Z,71-03-27-427-006.00-026,2802,,PORTAGE,Ave,46628,17110
ENV-16-05836,Environmental,Litter,2016-06-07T04:00:00.000Z,Closed,2016-06-21T04:00:00.000Z,71-08-02-183-028.00-026,1003,,SHERMAN,Ave,46616,17111
ENV-16-05631,Environmental,Grass and Weeds,2016-06-03T04:00:00.000Z,Closed,2016-06-03T04:00:00.000Z,71-08-02-426-003.000-026,805,,LELAND,AVE,46616,17112
